,donorID,amount,language,age,province,gender,gend,prov_01,prov_02,prov_03,prov_04,lang_01,lang_02,lang_03,donor,age_2
87,100023,15.0,FR,65.0,Brussels,M,0,0,0,0,1,0,1,0,0,0
542,100126,123.0,NL,32.0,Brussels,M,0,0,0,0,1,1,0,0,1,1
797,100253,120.0,NL,62.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
949,100279,75.0,NL,46.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,1,1
1303,100320,135.0,NL,40.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
1395,100335,30.0,NL,74.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
1694,100371,30.0,NL,93.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
1700,100374,123.0,NL,42.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
1874,100397,150.0,NL,87.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
2286,100444,150.0,NL,75.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
3059,100561,150.0,NL,65.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
3126,100572,15.0,NL,80.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
3235,100590,120.0,NL,92.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
3783,100656,135.0,NL,54.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
4116,100705,120.0,NL,51.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
4478,100738,15.0,NL,61.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
4492,100745,30.0,NL,30.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
4688,100778,60.0,NL,59.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
4727,100781,15.0,NL,31.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
5008,100830,120.0,NL,63.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
5379,100864,120.0,NL,89.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
5833,100920,120.0,NL,65.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
6215,100985,120.0,NL,59.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
6521,202036,21.0,NL,59.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
6565,101019,123.0,NL,62.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
6625,101036,120.0,NL,60.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
6634,101039,150.0,NL,34.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
6832,101068,123.0,NL,47.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
